PID1,PID2,B1,B2,PB,D1,D2,PD,PRODUCT,AVERAGE,DUPLICATE,
MRDG-PP3,K8YN-W4V,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MJ6F-SRV,M6P2-W1P,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
98GH-J9J,98GH-695,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MPWW-9CL,MHZ7-2TK,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
KZBM-7PF,MW5L-KBY,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
L6DX-WZ2,L6DK-6RY,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
MJ6X-D3T,9JT4-LCS,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
MPVW-FY4,MPVB-6S8,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
KCT9-1BQ,99NH-M3X,missing,+1777-09-21,0.5,missing,missing,0.5,0.25,0.5,N,
MJ76-FHJ,MJ76-LTS,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
KCT4-TB3,M26G-R3C,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
9JNJ-V9C,9JNJ-ZZZ,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
9JNQ-DNC,KNRG-H64,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
KLXH-RXB,MKY3-YC1,+1686,missing,0.5,missing,missing,0.5,0.25,0.5,N,
MJ6B-8T7,KZGD-LQ5,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MPWN-ZC4,MKD1-8W5,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
987Y-7T7,987W-L1T,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
MJ6Y-Q3F,9NG6-MKG,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
989W-4GQ,LQYC-FTB,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MRDW-PDW,KG6J-DQK,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
KZB7-MZP,KLH3-M7G,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
LJTF-BS9,GMT9-LDQ,+1917-05-27,+1917-05-27,1.0,+2008-11-08,+2008-11-08,1.0,1.0,1.0,Y,
MJ6F-SRV,MWTL-T6F,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
KZBM-7PF,MH9W-78K,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
98GH-J9J,9J9X-YZT,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
MRDG-PP3,MBPL-Q8T,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
LJTF-C3X,MQKL-NZD,+1765,missing,0.5,+1787-07-20,missing,0.5,0.25,0.5,Y,
L6DX-WZ2,L6DF-SMP,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
MJ76-FHJ,MJ7F-MCZ,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
MPVW-FY4,MPKF-YH1,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
KCT9-1BQ,K41B-8WB,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
MJ79-CS5,MDPF-BJF,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MRFC-D9N,LR6J-6CC,missing,+1840-12-19,0.5,missing,missing,0.5,0.25,0.5,Y,
KLXH-RXB,LV9J-58D,+1686,missing,0.5,missing,missing,0.5,0.25,0.5,N,
